trip_id,start_time,end_time,headway_secs,exact_times
"1.TA.93-244-0-j26-1.1.H","08:00:00","16:15:00","60","0"
"2.TA.93-244-0-j26-1.1.H","08:00:00","16:30:00","60","0"
"3.TA.93-244-0-j26-1.1.H","08:00:00","16:00:00","60","0"
"4.TA.93-244-0-j26-1.1.H","08:00:00","17:30:00","60","0"
"5.TA.93-244-0-j26-1.1.H","08:00:00","15:45:00","60","0"
"6.TA.93-244-0-j26-1.1.H","09:00:00","15:45:00","60","0"
"7.TA.93-244-0-j26-1.1.H","09:00:00","15:45:00","60","0"
"8.TA.93-244-0-j26-1.2.R","09:00:00","16:15:00","60","0"
"9.TA.93-244-0-j26-1.2.R","08:00:00","16:30:00","60","0"
"10.TA.93-244-0-j26-1.2.R","08:00:00","17:00:00","60","0"
"11.TA.93-244-0-j26-1.2.R","08:00:00","18:00:00","60","0"
"12.TA.93-244-0-j26-1.2.R","08:00:00","16:45:00","60","0"
"13.TA.93-244-0-j26-1.2.R","09:00:00","16:15:00","60","0"
"14.TA.93-244-0-j26-1.2.R","08:00:00","16:15:00","60","0"
"1.TA.93-230-2-j26-1.1.H","08:30:00","15:45:00","60","0"
"2.TA.93-230-2-j26-1.1.H","08:30:00","15:15:00","60","0"
"3.TA.93-230-2-j26-1.1.H","08:30:00","15:30:00","60","0"
"4.TA.93-230-2-j26-1.1.H","08:00:00","15:45:00","60","0"
"5.TA.93-230-2-j26-1.1.H","07:00:00","15:45:00","60","0"
"6.TA.93-230-2-j26-1.1.H","07:30:00","15:45:00","60","0"
"7.TA.93-230-2-j26-1.2.R","08:00:00","16:00:00","60","0"
"8.TA.93-230-2-j26-1.2.R","08:30:00","16:00:00","60","0"
"9.TA.93-230-2-j26-1.2.R","07:30:00","16:00:00","60","0"
"10.TA.93-230-2-j26-1.2.R","07:00:00","16:00:00","60","0"
"11.TA.93-230-2-j26-1.2.R","08:30:00","16:30:00","60","0"
"12.TA.93-230-2-j26-1.2.R","08:30:00","16:15:00","60","0"
"1.TA.93-202-6-j26-1.1.H","16:30:00","16:45:00","60","0"
"2.TA.93-202-6-j26-1.1.H","08:30:00","16:29:00","60","0"
"3.TA.93-202-6-j26-1.1.H","08:30:00","17:29:00","60","0"
"4.TA.93-202-6-j26-1.1.H","17:30:00","17:45:00","60","0"
"5.TA.93-202-6-j26-1.1.H","16:30:00","16:45:00","60","0"
"6.TA.93-202-6-j26-1.1.H","08:30:00","16:29:00","60","0"
